experiment_id	hypothesis_id	candidate	budget	status	accuracy	mean_query_ops	p95_latency_us	state_bytes	knowledge_compute_slope	depth_compute_slope	integrity_ok	plan_sha256	result_path	created_at
EXP-20260830-0004	HYP-0004	adaptive_linear_scan	quick	complete	1.0	594.3333333333334	13.0	29136.0	1.2703057411338268	1.01762400014989	True	37af0bc0d2a71a16f87a310fd4cda15ee4dbdf042e146669460677b828f5b9b8	research/results/EXP-20260830-0004.json	2026-08-30T00:47:47Z
EXP-20260830-0004	HYP-0004	adaptive_indexed	quick	complete	1.0	7.0	0.5833333333333334	18856.0	0.0	1.0	True	37af0bc0d2a71a16f87a310fd4cda15ee4dbdf042e146669460677b828f5b9b8	research/results/EXP-20260830-0004.json	2026-08-30T00:47:47Z
EXP-20260830-0005	HYP-0004	random_guess	quick	complete	0.010416666666666666	1.0	0.5833333333333334	64.0	0.0	0.0	True	21495f0ff5e26583e71dfb6353b25e02d88a6e5867edbdeab58285c7a5b1953b	research/results/EXP-20260830-0005.json	2026-08-30T00:55:26Z
EXP-20260830-0005	HYP-0004	fixed_short_indexed	quick	complete	0.6666666666666666	4.0	0.4166666666666667	18568.0	0.0	0.0	True	21495f0ff5e26583e71dfb6353b25e02d88a6e5867edbdeab58285c7a5b1953b	research/results/EXP-20260830-0005.json	2026-08-30T00:55:26Z
EXP-20260830-0005	HYP-0004	fixed_max_indexed	quick	complete	1.0	16.0	0.6333333333333333	18568.0	0.0	0.0	True	21495f0ff5e26583e71dfb6353b25e02d88a6e5867edbdeab58285c7a5b1953b	research/results/EXP-20260830-0005.json	2026-08-30T00:55:26Z
EXP-20260830-0005	HYP-0004	adaptive_indexed	quick	complete	1.0	7.0	0.5833333333333334	18856.0	0.0	1.0	True	21495f0ff5e26583e71dfb6353b25e02d88a6e5867edbdeab58285c7a5b1953b	research/results/EXP-20260830-0005.json	2026-08-30T00:55:26Z
EXP-20260830-0005	HYP-0004	learned_local_halt	quick	complete	1.0	40.0	0.8666666666666667	23240.0	0.0	0.7718657103125848	True	21495f0ff5e26583e71dfb6353b25e02d88a6e5867edbdeab58285c7a5b1953b	research/results/EXP-20260830-0005.json	2026-08-30T00:55:26Z
EXP-20260830-0006	HYP-0010	random_guess	quick	complete	0.010416666666666666	1.0	0.6166666666666667	64.0	0.0	0.0	True	45e442158bbb84ff1c8e3c88baacfe14e95a2894ab2831becca02e2200e4b758	research/results/EXP-20260830-0006.json	2026-08-30T01:02:05Z
EXP-20260830-0006	HYP-0010	adaptive_linear_scan	quick	complete	1.0	594.3333333333334	13.033333333333333	29136.0	1.2703057411338268	1.01762400014989	True	45e442158bbb84ff1c8e3c88baacfe14e95a2894ab2831becca02e2200e4b758	research/results/EXP-20260830-0006.json	2026-08-30T01:02:05Z
EXP-20260830-0006	HYP-0010	adaptive_indexed	quick	complete	1.0	7.0	0.6	18856.0	0.0	1.0	True	45e442158bbb84ff1c8e3c88baacfe14e95a2894ab2831becca02e2200e4b758	research/results/EXP-20260830-0006.json	2026-08-30T01:02:05Z
